date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:29	3272/3272	---M--	200	added ('OK')	image/png	etag:%22cc8-56be06a9aced0%22	http://www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/circloo-2-game-logo.png?0=itok%3DRy-fKsQY	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/circloo-2-game-logobb4b.png	(from http://www.coolmath-games.com/)
14:44:29	151857/151857	---M-Z	200	added ('OK')	text/html	etag:%221526952707-1%22	http://www.coolmath-games.com/0-the-sun-for-the-vampire-3	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/0-the-sun-for-the-vampire-3.html	(from http://www.coolmath-games.com/)
14:44:30	4715/4715	---M--	200	added ('OK')	image/png	etag:%22126b-56bb823079fd0%22	http://www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/lets-play-golf-game-logo.png?0=itok%3D-MYZHIUG	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/lets-play-golf-game-logo9219.png	(from http://www.coolmath-games.com/)
14:44:30	149045/149045	---M-Z	200	added ('OK')	text/html	etag:%221526926794-1%22	http://www.coolmath-games.com/0-wipo	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/0-wipo.html	(from http://www.coolmath-games.com/)
14:44:31	4704/4704	---M--	200	added ('OK')	image/png	etag:%221260-56b53636c5558%22	http://www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/the-sun-for-the-vampire-3-game-logo.png?0=itok%3DdaUdPQU-	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/the-sun-for-the-vampire-3-game-logo6e2a.png	(from http://www.coolmath-games.com/)
14:44:31	903/903	---M--	200	added ('OK')	image/png	etag:%22387-56a9c429093d8%22	http://www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/wipo-game-logo.png?0=itok%3DNiNwh3ve	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/wipo-game-logoadc3.png	(from http://www.coolmath-games.com/)
14:44:32	150412/150412	---M-Z	200	added ('OK')	text/html	etag:%221526952797-1%22	http://www.coolmath-games.com/0-tail-of-the-dragon	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/0-tail-of-the-dragon.html	(from http://www.coolmath-games.com/)
14:44:33	155735/155735	---M-Z	200	added ('OK')	text/html	etag:%221526952611-1%22	http://www.coolmath-games.com/0-plug-me	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/0-plug-me.html	(from http://www.coolmath-games.com/)
14:44:34	1995/1995	---M--	200	added ('OK')	image/png	etag:%227cb-56a3a02871968%22	http://www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/tail-of-the-dragon-game-logo.png?0=itok%3DsEKZkwhg	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/tail-of-the-dragon-game-logo4aeb.png	(from http://www.coolmath-games.com/)
14:44:34	154215/154215	---M-Z	200	added ('OK')	text/html	etag:%221526952520-1%22	http://www.coolmath-games.com/0-jet-boy	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/0-jet-boy.html	(from http://www.coolmath-games.com/)
14:44:34	420924/420924	---M-Z	200	added ('OK')	application/javascript	etag:%2266c3c-566e960f01468-gzip%22	http://www.coolmath-games.com/sites/cmatgame/files/prebid-v0.34.4.js	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/prebid-v0.34.4.js	(from http://www.coolmath-games.com/)
14:44:34	2577/2577	---M--	200	added ('OK')	image/png	etag:%22a11-569fc2c324b90%22	http://www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/plug-me-game-logo.png?0=itok%3Dy4-Gy2YV	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/plug-me-game-logoa637.png	(from http://www.coolmath-games.com/)
14:44:34	149817/149817	---M-Z	200	added ('OK')	text/html	etag:%221526952600-1%22	http://www.coolmath-games.com/0-rocket-dancer	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/0-rocket-dancer.html	(from http://www.coolmath-games.com/)
14:44:35	2148/2148	---M--	200	added ('OK')	image/png	etag:%22864-5696d73b16e68%22	http://www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/jet-boy-game-logo.png?0=itok%3DCAL0m6M8	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/jet-boy-game-logo3323.png	(from http://www.coolmath-games.com/)
14:44:36	151065/151065	---M-Z	200	added ('OK')	text/html	etag:%221526952174-1%22	http://www.coolmath-games.com/0-basketball-master-2	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/0-basketball-master-2.html	(from http://www.coolmath-games.com/)
